disease,a,b,cosine,flagged
SIA,SIA.3,SIA.4,0.82232654,False
KAW,KAW.3,KAW.4,0.82249606,False
ANG,ANG.2,ANG.3,0.82278764,False
SIA,SIA.1,SIA.3,0.82406086,False
COD,COD.2,COD.5,0.82414174,False
WAR,WAR.1,WAR.2,0.8247938,False
GEO,GEO.3,GEO.5,0.8249705,False
DOO,DOO.3,DOO.4,0.82536805,False
KRA,KRA.4,KRA.5,0.82538676,False
OCH,OCH.3,OCH.4,0.8260212,False
CSY,CSY.1,CSY.3,0.82617044,False
TEMP,TEMP.3,TEMP.4,0.8262337,False
WAL,WAL.2,WAL.5,0.826547,False
EPIE,EPIE.4,EPIE.5,0.82659835,False
GEO,GEO.2,GEO.4,0.82703257,False
ART,ART.2,ART.4,0.82792306,False
CAN,CAN.2,CAN.3,0.82807124,False
AURI,AURI.1,AURI.2,0.8285836,False
COND,COND.2,COND.3,0.82865024,False
BOH,BOH.1,BOH.2,0.82878447,False
CYS,CYS.1,CYS.5,0.8301718,False
ROB,ROB.2,ROB.5,0.831012,False
DOO,DOO.2,DOO.4,0.8310498,False
CSY,CSY.4,CSY.5,0.83125013,False
MBO,MBO.1,MBO.2,0.8325759,False
LEP,LEP.4,LEP.6,0.8326589,False
CAH,CAH.1,CAH.2,0.83280826,False
OST,OST.3,OST.5,0.8340935,False
DOO,DOO.3,DOO.5,0.8342832,False
DIA,DIA.1,DIA.5,0.83487844,False
BOY,BOY.2,BOY.3,0.83535534,False
WAL,WAL.2,WAL.3,0.83563125,False
SIA,SIA.1,SIA.4,0.835701,False
WAL,WAL.3,WAL.5,0.837127,False
GLU,GLU.3,GLU.5,0.83844405,False
MPS,MPS.1,MPS.3,0.8394331,False
ALS,ALS.2,ALS.4,0.8402833,False
ALLA,ALLA.1,ALLA.4,0.84052765,False
BEC,BEC.3,BEC.5,0.8415514,False
PRIM,PRIM.1,PRIM.2,0.8420837,False
TEMP,TEMP.2,TEMP.3,0.8424541,False
KRA,KRA.2,KRA.3,0.8427289,False
MOR,MOR.2,MOR.3,0.84293485,False
CUS,CUS.2,CUS.4,0.84339607,False
SUL,SUL.2,SUL.3,0.84414625,False
OCH,OCH.1,OCH.3,0.8442432,False
CRIS,CRIS.3,CRIS.5,0.8443494,False
BAI,BAI.1,BAI.3,0.8445629,False
MOW,MOW.1,MOW.4,0.8459068,False
TUR,TUR.1,TUR.3,0.8461225,False
MAR,MAR.2,MAR.4,0.84616554,False
CLE,CLE.1,CLE.4,0.84650004,False
OST,OST.1,OST.2,0.84715927,False
GEO,GEO.1,GEO.4,0.8474176,False
SUL,SUL.1,SUL.5,0.84814143,False
MPS,MPS.1,MPS.4,0.84815615,False
CLOU,CLOU.3,CLOU.4,0.84845114,False
VANB,VANB.1,VANB.2,0.8485745,False
ANG,ANG.3,ANG.4,0.84875923,False
JUV,JUV.1,JUV.3,0.8492168,False
ODO,ODO.2,ODO.3,0.84927166,False
WOL,WOL.2,WOL.3,0.8497977,False
BOH,BOH.3,BOH.5,0.8501436,False
LOE,LOE.4,LOE.5,0.8504503,False
WOL,WOL.1,WOL.4,0.85080653,False
DIA,DIA.3,DIA.4,0.852206,False
AAR,AAR.2,AAR.4,0.8523862,False
MPS,MPS.2,MPS.4,0.85305,False
TEMP,TEMP.2,TEMP.4,0.85322905,False
SUL,SUL.3,SUL.4,0.85425115,False
ROB,ROB.2,ROB.3,0.85470134,False
