omim,disease,hpo_id,freq_value
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000219,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000286,0.5
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000294,0.8823529411764706
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000316,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000327,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000347,0.7142857142857143
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000431,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000486,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000494,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000508,0.5
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0000574,0.5
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0002000,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0002553,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0009765,1.0
OMIM:180849,Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,HP:0011229,1.0
OMIM:182290,Smith-Magenis_syndrome,HP:0000202,0.17
OMIM:182290,Smith-Magenis_syndrome,HP:0000272,0.9230769230769231
OMIM:182290,Smith-Magenis_syndrome,HP:0000283,0.5833333333333334
OMIM:182290,Smith-Magenis_syndrome,HP:0000321,1.0
OMIM:182290,Smith-Magenis_syndrome,HP:0000431,0.8846153846153846
OMIM:182290,Smith-Magenis_syndrome,HP:0000486,1.0
OMIM:182290,Smith-Magenis_syndrome,HP:0000582,0.5
OMIM:182290,Smith-Magenis_syndrome,HP:0000664,0.5
OMIM:182290,Smith-Magenis_syndrome,HP:0002714,0.5
OMIM:182290,Smith-Magenis_syndrome,HP:0010803,0.55
OMIM:194050,Williams_syndrome,HP:0000179,0.55
OMIM:194050,Williams_syndrome,HP:0000194,0.55
OMIM:194050,Williams_syndrome,HP:0000272,0.17
OMIM:194050,Williams_syndrome,HP:0000286,0.55
OMIM:194050,Williams_syndrome,HP:0000293,0.55
OMIM:194050,Williams_syndrome,HP:0000341,0.55
OMIM:194050,Williams_syndrome,HP:0000343,0.5
OMIM:194050,Williams_syndrome,HP:0000455,0.55
OMIM:194050,Williams_syndrome,HP:0000463,0.55
OMIM:194050,Williams_syndrome,HP:0000486,0.55
OMIM:194050,Williams_syndrome,HP:0000581,0.55
OMIM:194050,Williams_syndrome,HP:0000601,0.17
OMIM:194050,Williams_syndrome,HP:0003196,0.55
OMIM:194050,Williams_syndrome,HP:0010747,0.55
OMIM:213300,Joubert_syndrome_1,HP:0000286,0.5
OMIM:213300,Joubert_syndrome_1,HP:0000463,0.5
OMIM:213300,Joubert_syndrome_1,HP:0000486,1.0
OMIM:213300,Joubert_syndrome_1,HP:0000508,1.0
OMIM:213300,Joubert_syndrome_1,HP:0002553,0.5
OMIM:213300,Joubert_syndrome_1,HP:0200096,0.5
OMIM:216550,Cohen_syndrome,HP:0000194,0.5
OMIM:216550,Cohen_syndrome,HP:0000322,1.0
OMIM:216550,Cohen_syndrome,HP:0000327,0.5
OMIM:216550,Cohen_syndrome,HP:0000347,1.0
OMIM:216550,Cohen_syndrome,HP:0000494,1.0
OMIM:216550,Cohen_syndrome,HP:0000574,1.0
OMIM:216550,Cohen_syndrome,HP:0012471,1.0
OMIM:218040,Costello_syndrome,HP:0000179,0.5
OMIM:218040,Costello_syndrome,HP:0000286,0.5
OMIM:218040,Costello_syndrome,HP:0000293,0.5
OMIM:218040,Costello_syndrome,HP:0000307,0.5
OMIM:218040,Costello_syndrome,HP:0000316,0.5
OMIM:218040,Costello_syndrome,HP:0000347,0.5
OMIM:218040,Costello_syndrome,HP:0000463,0.5
OMIM:218040,Costello_syndrome,HP:0000486,0.5
OMIM:218040,Costello_syndrome,HP:0000494,0.5
OMIM:218040,Costello_syndrome,HP:0000508,0.5
OMIM:235730,Mowat-Wilson_syndrome,HP:0000307,0.5
OMIM:235730,Mowat-Wilson_syndrome,HP:0000316,0.5
OMIM:235730,Mowat-Wilson_syndrome,HP:0000431,0.5
OMIM:235730,Mowat-Wilson_syndrome,HP:0000486,0.568
OMIM:235730,Mowat-Wilson_syndrome,HP:0000494,0.5
OMIM:235730,Mowat-Wilson_syndrome,HP:0000508,0.5
OMIM:235730,Mowat-Wilson_syndrome,HP:0000565,0.5
OMIM:235730,Mowat-Wilson_syndrome,HP:0000568,0.5
OMIM:235730,Mowat-Wilson_syndrome,HP:0009765,1.0
OMIM:235730,Mowat-Wilson_syndrome,HP:0011229,0.5
OMIM:236100,holoprosencephaly_1,HP:0000161,0.5
OMIM:236100,holoprosencephaly_1,HP:0000568,0.5
OMIM:236100,holoprosencephaly_1,HP:0000601,0.5
OMIM:236100,holoprosencephaly_1,HP:0002006,0.5
OMIM:236100,holoprosencephaly_1,HP:0009927,0.5
OMIM:236100,holoprosencephaly_1,HP:0012806,0.5
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000204,0.14285714285714285
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000219,0.55
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000272,0.5
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000316,0.8571428571428571
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000322,0.5
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000431,0.8571428571428571
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000455,0.8571428571428571
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000582,0.55
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0000637,0.55
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0001090,0.55
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0002553,0.5
OMIM:239300,hyperphosphatasia_with_intellectual_disability_syndrome_1,HP:0002714,0.8571428571428571
