feature,bias_224,iqr_224,bias_160,iqr_160,bias_128,iqr_128,bias_96,iqr_96,bias_64,iqr_64,res_drift_224
eye_fissure_slant_r,-0.00717833527002416,0.15457760025939926,-0.027569433420403716,0.28528817207366974,-0.06215092189473406,0.35212531915568046,-0.1541840155669198,0.49453640567822676,-0.3550610463309838,0.8524464027506423,0.00717833527002416
eye_fissure_slant_l,-0.02508084443971658,0.1395595328584079,-0.07865997537207231,0.24863757767644998,-0.11854106237386511,0.3370795565034115,-0.20726174116259427,0.44676200830955715,-0.3998406291083443,0.7997481443466353,0.02508084443971658
eye_fissure_slant_mean,-0.02936093467159981,0.19486044586309859,-0.09153853187117245,0.3631495164550601,-0.18092782108502467,0.47500033591869445,-0.37155504809299866,0.7011722152394354,-0.7844298189042487,1.1446031913172767,0.02936093467159981
eye_fissure_slant_asym,0.019709069423764682,0.20357946033805122,0.005405554262709377,0.3436958735884525,0.004240224632572832,0.4009777865412683,-0.004996183002842335,0.5267340775258313,-0.017930560447325328,0.8393062228296885,0.019709069423764682
eye_fissure_aspect_r,0.03439725835059472,0.13798212201466425,0.02690268078278202,0.23682019230658602,-0.024400603615044245,0.3395036644377243,-0.16982704722256087,0.6287826811552091,-0.628983945728697,1.0526578348672817,0.03439725835059472
eye_fissure_aspect_l,0.03011661000895549,0.143678539311462,0.01088447719278723,0.26369924186349303,-0.04972615502329347,0.3810476205650599,-0.22703435565546815,0.6475535876732041,-0.7226879488431364,1.0733996338859595,0.03011661000895549
eye_fissure_aspect_mean,0.032198493689250735,0.14365650348314501,0.019301529605582773,0.26102522529362393,-0.02965930075554534,0.3561489032233885,-0.19249061805907622,0.6535937305326878,-0.7359660088638689,1.1211972419599352,0.032198493689250735
inter_canthal_distance,0.021628403150139135,0.2938657095701832,0.051092227085820355,0.4505370155133255,0.12032516604736647,0.6053148538842483,0.2382103593671139,0.7870166185452467,0.4215837853369105,1.3021154386857474,0.021628403150139135
inter_pupillary_distance,-0.004501851130685816,0.18475099843655343,-0.005785830084057356,0.3328206348149523,0.009509973836192303,0.4308175325244339,0.026120525897894757,0.6027094771603838,0.025782646391022755,0.9442842209910698,0.004501851130685816
outer_canthal_distance,-0.012223311637142395,0.24289941196266523,-0.020724537702250273,0.4829680340228796,-0.0037219847616936697,0.5770330025788122,0.0170860001578395,0.8064346032646322,-0.03442212846978587,1.05633256459756,0.012223311637142395
canthal_to_pupillary_ratio,0.04448993847451668,0.2653713349280549,0.09831295748681834,0.3594380429199391,0.16083295955161458,0.5132987429655944,0.28895847305780564,0.8331205710605247,0.436146966493016,1.196796294130676,0.04448993847451668
